Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
abr/09;66,79;67,81;133,53;16,48;44,54;28,46;3,40;28,84;72,48;822,61;1,66;1,71;0,57;39,56;37,68;400,53
mai/09;64,75;61,87;133,88;17,40;45,98;27,92;3,48;28,58;72,26;806,72;1,61;1,68;0,59;36,57;34,60;401,232
jun/09;68,12;63,49;129,24;17,23;45,07;27,63;3,47;28,90;74,22;824,37;1,73;1,84;0,63;38,54;36,35;399,966
jul/09;74,45;67,17;132,47;15,44;42,69;27,68;3,42;29,48;74,87;851,43;1,71;1,74;0,70;34,89;32,90;397,393
ago/09;68,68;62,85;140,28;14,70;42,81;26,04;3,46;30,33;74,80;839,80;1,62;1,72;0,70;33,53;31,47;397,758
set/09;66,64;61,67;162,51;14,50;42,16;24,93;3,39;30,54;73,74;831,19;1,61;1,80;0,71;31,55;29,53;398,738
out/09;65,24;61,84;195,42;15,20;41,28;25,04;3,40;31,30;73,66;827,22;1,57;1,94;0,68;29,24;27,16;398,575
nov/09;60,52;60,49;205,56;15,51;40,85;24,92;3,42;31,82;71,56;810,17;1,59;1,94;0,62;29,45;27,40;398,857
dez/09;54,42;52,69;202,02;14,83;39,81;24,53;3,54;32,22;70,68;805,32;1,59;1,93;0,59;30,84;28,90;398,407
jan/10;55,86;57,45;205,68;14,58;37,16;23,94;3,55;32,51;71,92;821,29;1,58;1,98;0,58;29,83;27,92;402,425
fev/10;54,71;56,86;245,55;14,09;33,29;24,05;3,52;32,59;72,02;815,39;1,59;1,94;0,59;32,85;30,94;406,826
mar/10;74,63;65,23;277,77;13,84;31,15;23,34;3,50;33,63;73,31;832,37;1,53;2,02;0,63;38,53;36,35;409,399
abr/10;104,97;73,44;236,53;13,68;30,59;23,09;3,50;34,60;75,29;866,46;1,44;2,02;0,67;37,02;34,80;412,341
mai/10;104,66;71,21;234,58;13,73;31,48;22,95;3,52;34,21;74,88;873,56;1,40;2,07;0,73;35,59;33,71;418,811
jun/10;99,76;69,87;271,14;13,92;31,87;22,78;3,64;34,43;74,97;866,59;1,43;2,09;0,73;37,60;35,75;420,241
jul/10;88,74;68,17;250,02;13,07;34,01;22,23;4,06;34,77;77,33;878,52;1,47;2,11;0,71;36,01;34,15;421,154
ago/10;83,10;66,27;245,82;14,14;36,88;22,93;4,17;34,85;81,38;901,43;1,49;2,19;0,68;37,19;35,24;425,788
set/10;116,84;75,53;266,82;16,60;37,96;24,78;4,21;35,34;85,67;924,06;1,66;2,27;0,68;35,31;33,20;430,453
out/10;127,55;88,09;265,14;17,79;39,81;24,83;4,12;36,51;90,25;944,57;1,69;2,59;0,68;35,03;33,00;434,882
nov/10;110,12;76,94;267,88;19,87;43,39;24,84;4,28;37,38;100,88;1033,36;1,74;2,76;0,69;35,57;33,67;441,754
